A0.	Creator.
J1772.1.1.	Boy thinks terrapin hatches from bedbug eggs.
J1772.1.2.	Potatoes mistaken for "irregular eggs", or "eggs of the earth."
J1772.2.	Dog mistakes mussel for an egg.
J1772.3.	Coins thought to be red beans.
J1772.3.1.	Coins thought to be uncooked cakes.
J1772.4.	Culture hero's pubic hair thought to be bear hair.
J1772.4.1.	Pubic hair of ardent husband's wife thought to be calf's tail by peasant in tree.
J1772.5.	Man puts food bowl on head thinking it a helmet.
J1772.6.	Fish bones in soup thought to be underdone peas.
J1772.7.	Fools think evening star is morning star.
J1772.8.	Cotton pods knocked off by bullock thought to be lumps of bullock's fat.
J1772.9.	Excrements thought to be meat and therefore eaten.
J1772.9.1.	Excrement thought to be berries.
J1772.10.	Gun thought to be clarinet: one man blows, another presses the "keys".
J1772.11.	Boot mistaken for an axe-sheath.
J1772.12.	Foolish tiger thinks dog's tail is a gun.
J1772.13.	Frog thinks cattle are distant country.
J1772.14.	Eight-oared ferry-boat mistaken for an animal which must have long legs to wade the stream.
J1780.	Things thought to be devils, ghosts, etc. Indonesian: Coster-Wijsman 57 No. 83.
J1781.	Objects thought to be the devil.
J1781.1.	Steamship thought to be the devil.
J1781.2.	Watch mistaken for the devil's eye.
J1781.3.	Glowing wheel supposed to be the devil.
J1782.	Things thought to be ghosts.
J1782.1.	Robber or dog in church thought to be a ghost.
J1782.1.1.	Cows in church thought to be ghost.
J1782.2.	Dropping dough thought to be a ghost.
J1782.2.1.	Sound of water dripping on dinner pail thought to be ghost using pick in mine.
J1782.3.	Noise in house thought to be ghost.
J1782.4.	Man sleeping in stable (abandoned cabin) thinks entering animals are ghosts: kills them.
J1782.5.	Animal with lighted candle thought to be ghost.
J1782.6.	Person in white thought to be ghost.
J1782.7.	Sleep-walker thought to be a ghost until discovered.
J1782.8.	Person in haunted house shoots off all his toes thinking they are ghosts.
J1783.	Thing thought to be corpse.
J1783.1.	Butter cask thought to be a dead man.
J1784.	Things thought to be spirits.
J1784.1.	Laughter of boy thought to be spirits' laughter.
J1785.	Animals thought to be the devils or ghosts.
J1785.1.	Grasshopper thought to be the devil.
J1785.2.	Crab thought to be the devil.
J1785.3.	Ass thought to be the devil.
J1785.4.	Man sees Hereford cow at night; thinks it is devil, says, "Devil I deny thee! I am a psalmsinger and a worshiper of God!" England: Baughman.
J1785.4.1.	Man addresses colt: "Abide, Satan! I am a righteous man and a psalm singer."
J1785.5.	Cat mistaken for devil.
J1785.6.	Fox in coffer thought to be devil.
J1785.7.	Black sheep thought to be the devil.
J1786.	Man thought to be a devil or ghost.
J1786.1.	Man costumed as demon thought to be devil; thieves flee.
J1786.2.	Woman thought to be devil; thieves flee.
J1786.3.	Man mistaken for Famine and Cholera in person.
J1786.4.	Priest exorcising demon mistaken for demon and beaten to death.
J1786.5.	Man thought to be devil by lion.
J1786.6.	Men, on first seeing wives with hair, think they are witches and run away.
J1786.7.	Lion thinks man astride him is monster: frightened.
J1786.8.	Man reported to be dead so that people flee from him as from a ghost.
J1789.	Things thought at night to be other frightful object.
J1789.1.	Windmill thought to be holy cross (church, God).
J1789.2.	Clock ticking thought to be gnawing of mice.
J1790.	Shadow mistaken for substance
J1790.1.	Numskull thinks his shadow is a man pursuing him.
J1790.2.	Shadow mistaken for thief: is beaten.
J1790.3.	Monkey seeing tiger attack his shadow is frightened so that he falls from tree.
J1791.	Reflection in water thought to be the original of the thing reflected.
J1791.1.	Drinking the moon.
J1791.2.	Rescuing the moon.
J1791.3.	Diving for cheese.
J1791.3.1.	Wolf tries to drink well dry to get cheese.
J1791.3.2.	Dogs by river try to get food in river by drinking the river dry.
J1791.3.2.1.	Demon tries to recover object from river by drinking it dry.
J1791.3.3.	Moon's reflection thought to be gold in water.
J1791.3.4.	Jackals jump into well after drums and are killed.
J1791.4.	Dog drops his meat for the reflection.
J1791.5.	Diving for reflected enemy.
J1791.5.1.	Shooting at enemy's reflection in water.
J1791.5.2.	Man throws stone at own reflection in water.
J1791.5.3.	Frog leaps into water after elephant's reflection.
J1791.6.	Diving for reflection of beautiful woman.
J1791.6.0.1.	Woman dives in water three times after reflected image of man peering down from a tree.
J1791.6.1.	Ugly woman sees beautiful woman reflected in water and thinks it is herself.
J1791.6.2.	Ogre sees beautiful woman reflected in water.
J1791.7.	Man does not recognize his own reflection in the water.
J1791.7.1.	Simpleton thinks his reflection in jar of melted butter is thief;
J1791.8.	Goose dives for star, thinking it a fish.
J1791.9.	Fools see bee's nest reflected in water: try to carry off the well.
J1791.10.	Fool sees golden-crested bird reflected in water.
J1791.11.	Diving for reflected fruit.
J1791.12.	Elephant frightened at agitated reflection of moon in water.
J1792.	Picture mistaken for original.
J1792.1.	Dove sees painted cups of water and dashes into them.
J1793.	Mask mistaken for face.
J1794.	Statue mistaken for living original.
J1795.	Image in mirror mistaken for picture.
J1795.1.	Foolish demon sees his reflection in trickster's mirror and is convinced he has been captured.
J1796.	Moonlight thought to be substance.
J1796.1.	Men build hedge to keep in the moonlight.
J1800.	One thing mistaken for another--miscellaneous.
J1801.	Breath in the cold thought to be tobacco smoke.
J1802.	Words in a foreign language thought to be insults.
J1802.1.	"I don't understand."
J1803.	Learned words misunderstood by uneducated.
J1803.1.	Not of legitimate birth.
J1803.2.	Doctor's expressions misunderstood.
J1804.	Conversation by sign language mutually misunderstood.
J1805.	Other misunderstandings of words.
J1805.1.	Similar sounding words mistaken for each other.
J1805.1.1.	To cover house with straw.
J1805.2.	Unusual word misunderstood.
J1805.2.1.	Daughter says "Sobur" (wait) to her father when he asks what to bring from the journey.
J1805.3.	Numskull referring to a forgotten name keeps saying "I have lost it."
J1805.4.	A fool given money to buy something to eat; goes around asking for a thing called "something."
J1806.	Setting sun mistaken for fire.
J1809.	Other things with mistaken identities.
J1809.1.	Old woman's sneeze mistaken for gunfire.
J1810.	Physical phenomena misunderstood.
J1811.	Animal cries misunderstood.
J1811.1.	Owl's hoot misunderstood by lost simpleton.
J1811.1.1.	The old maid answers the owl's hoot, saying "Anybody, Lord!" or giving the name of the young man she wants.
J1811.2.	Frog's cries misunderstood.
J1811.3.	Turkey's gobble misunderstood by man lost in woods.
J1811.4.	Rooster's crow interpreted.
J1811.4.1.	Henpecked husband leaves home.
J1812.	Other sounds misunderstood.
J1812.1.	Seeds rattling in pods thought to be insults.
J1812.2.	Rabbits think sound of waves is great danger to them.
J1812.3.	Fermenting dough: "Woe to you .
J1812.4.	Hissing of fire thought to be noise of cooking muffins.
J1812.4.1.	Noises fire is making misunderstood.
J1812.5.	Snoring sounds misunderstood.
J1812.5.1.	Numskull thief thinks snoring sleeper is asking for food.
J1813.	Cooking processes misunderstood.
J1813.1.	Mushrooms shrink in water.
J1813.2.	Boiling milk thought to be overflowing.
J1813.2.1.	Numskull thinks his prayers have stopped milk boiling over.
J1813.3.	Boiling pumpkin thought to be talking.
J1813.4.	Boiling pot on the floor thought to be self-cooking.
J1813.5.	Fish dancing about in cooking pot appears to be many.
J1813.6.	Handful of black pepper taken into mouth instead of cooking it in food.
J1813.7.	Savory tea.
J1813.8.	Sheep's head has eaten dumplings.
J1813.9.	All the beans cooked for one meal.
J1813.9.1.	Stupid servant cooks all the rice for one meal.
J1813.10.	Numskull thinks boiling pot is threatening him: breaks pot.
J1814.	Numskull stays till he has finished.
J1815.	Did the calf eat the man?
J1816.	Fool thinks gold is being destroyed when snails crawl over it.
J1817.	Fool thinks belly is speaking to him; stabs himself.
J1818.	Animal's action misunderstood.
J1818.1.	Urination of bull thought to be bleeding.
J1819.	Physical phenomena misunderstood--miscellaneous.
J1819.1.	Fools think thorn bush doesn't sting at night.
J1819.2.	Simpleton sleeping in cold room breaks window to let the cold out.
J1819.3.	Fool wakes with sleeping mat over head and thinks it is still night.
J1820.	Inappropriate action from misunderstanding.
J1821.	Swimming (fishing) in the flax-field.
J1821.1.	Trying to swim in the mist.
J1822.	Sweeping with a stick instead of a broom.
J1823.	Misunderstanding of church customs or ceremonies causes inappropriate action.
J1823.1.	Misunderstandings concerning images of Christ.
J1823.1.1.	Christ accused of trying to fool the people.
J1823.1.2.	Christ's image has broken his arm.
J1823.1.3.	The Lord has departed.
J1823.1.4.	Numskull knocks the figure of Jesus from the ass.
J1823.2.	Bishop struck for breaking the peace.
J1823.3.	Numskull thinks the extinguishing of lights at the church presages a fight.
J1823.4.	Move away from Moslem land so that Allah need not be feared.
J1824.	Fatal bread.
J1824.1.	Other misunderstandings of the communion.
J1825.	Turkish ambassador misunderstands Christian ceremonies.
J1825.1.	Christian laws are profitless, Turkish ambassador says.
J1826.	The falcon not so good as represented.
J1827.	The king no priest's son.
J1828.	The obedient log.
J1831.	Numskull throws the dishes out.
J1832.	Jumping into the river after their comrade.
J1833.	Numskull thinks the bishop's snoring is his death rattle.
J1833.1.	Numskull shoots grasshopper which lighted on the shoulder of his friend and kills friend.
J1833.1.1.	Boy strikes at a fly on his sister's breast: it turns into nipple and girl thinks it due to brother's caress.
J1833.1.2.	One man strikes at partridge which has lighted on second man's head.
J1834.	Numskulls lose corpse and bury live person instead.
J1835.	Goat chewing cud angers fool, who thinks goat is mimicking him.
J1836.	Fool not recognizing coins lying on roadside leaves them.
J1838.	Man thinks own toe is snake's head and cuts it off.
J1842.	Useless surgical operation from misunderstanding.
J1842.1.	Numskull (female devil) thinks her pubic hair has been telling her lies and pulls it out together with the skin.
J1842.2.	Fool cannot answer as his mouth is full;
J1842.3.	Bird protruding from king's stomach cut out with swords: king killed.
J1842.4.	Child's stomach split open to cure him of wandering.
J1845.	Serfs congratulate their master.
J1846.	Numskull prepares brother's wedding (father's funeral).
J1849.	Inappropriate action from misunderstanding--miscellaneous.
J1849.1.	Fool believes realistic story.
J1849.1.1.	Story told about a deer: fool starts chase.
J1849.2.	Jackdaw tries to swallow sparks from glowworm.
J1849.3.	Numskull strikes all matches in order to try them.
J1849.4.	Nobody can move it.
J1850.	Gift or sale to animal (or object).
J1851.	Gift to animal or object.
J1851.1.	Gifts to frogs.
J1851.1.1.	Numskull throws money to frogs so that they can count it.
J1851.1.2.	Numskull feeds his wheat to frogs.
J1851.1.3.	Numskull throws money to frogs to repay them.
J1851.1.4.	Wool taken to pond for frogs and toads to weave.
J1851.2.	Gifts to birds.
J1851.3.	Gift to object.
J1851.3.1.	Fool stops hole with money.
J1851.4.	Thankful numskull puts money in the anus of sheep which he supposes has helped him.
J1852.	Goods sold to animals.
J1852.1.	Numskull sells cow to bird.
J1852.1.1.	Fool sells balls of thread to great lizard.
J1852.1.2.	Oil sold to iguana.
J1853.	Goods sold to object.
J1853.1.	Fool sells goods to a statue.
J1853.1.1.	Money from the broken statue.
J1856.	Food given to object.
J1856.1.	Meat fed to cabbages.
J1860.	Animal or object absurdly punished.
J1861.	Thief punishes the escaped ox.
J1862.	The ass deprived of his saddle.
J1863.	Cow punished for calf's misdeeds.
J1863.1.	Man beats calves because the bull has butted him over the fence.
J1863.2.	Wolf punished for his father's misdeeds.
J1864.	Man flogs his shot.
J1865.	Sickle punished by drowning.
J1865.1.	Sickle punished by being tied in top of a tree.
J1866.	Man avenges self on animals by wholesale slaughter.
J1866.1.	Man avenges brother's death by wholesale slaughter of wild pigs.
J1867.	Man punishes offending part of his body.
J1867.1.	Man beats his foot for slipping.
J1870.	Absurd sympathy for animals or objects.
J1871.	Filling cracks with butter.
J1872.	Creaking limbs.
J1872.0.1.	Creaking wagon dies.
J1872.1.	Helping the cuckoo.
J1873.	Animals or objects kept warm.
J1873.1.	Fool makes shoes for animals as well as men, since he expects a cold winter.
J1873.2.	Cloak given to a stone to keep it warm.
J1873.3.	Warming the stove with wool.
J1873.4.	King orders houses built to keep howling jackals warm in winter.
J1874.	Relieving the beast of burden.
J1874.1.	Rider takes the meal-sack on his shoulder to relieve the ass of his burden.
J1874.2.	Man puts bag of meal on one side of saddle, balances it on the other side with a rock.
J1875.	Objects ascribed human feelings.
J1875.1.	Kernel tries to escape death.
J1875.2.	Complaint of the porridge pot.
J1875.3.	The homesick wave.
J1875.4.	Coin weeps.
J1879.	Absurd sympathy for animals or objects--miscellaneous.
J1879.1.	Men drag carts on to roof to shade it from the sun.
J1880.	Animals or objects treated as if human--miscellaneous.
J1881.	Animal or object expected to go alone.
J1881.1.	Object sent to go by itself.
J1881.1.1.	Cheeses thrown down to find their way home.
J1881.1.2.	One cheese sent after another.
J1881.1.3.	Three-legged pot sent to walk home.
J1881.1.4.	Table thrown out of the sledge; to go home by itself.
J1881.1.5.	Spinning wheel is sent home by itself.
J1881.1.6.	Sickle laid in field and told to cut grain.
J1881.1.7.	Fool sends letter home by a flooded river.
J1881.2.	Animal sent to go by itself.
